$id,name,description,condition,grade,exclusive,status,effect:SPR,effect:MNY,effect:CHR,effect:STR,effect:INT,effect:RDM,replacement:grade[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],exclude[],exclude[],exclude[],exclude[],exclude[],exclude[],exclude[],exclude[]
序号,天赋名,括号中的内容,触发条件,稀有度,专属天赋,初始可用属性点,额外快乐,额外家境,额外颜值,额外体质,额外智力,随机属性,替换成某稀有度的天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,互斥天赋,互斥天赋,互斥天赋,互斥天赋,互斥天赋,互斥天赋,互斥天赋,互斥天赋
1001,随身玉佩,或许有护佑作用,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,红肚兜,小时候死亡率降低,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,生而为男,性别一定为男,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1004,1025,1024,,,,,
1004,生而为女,性别一定为女,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1003,1024,1025,,,,,
1005,动漫高手,入宅的可能性翻6倍,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,乐观,快乐+1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,天赋异禀,初始可用属性点+2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,天生抑郁,快乐-3,,0,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,网络巨魔,快乐+2,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,天龙人,你拥有北京户口,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,1012,1013,1014,,,,,
1011,独生子女,你没有兄弟姐妹,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,乡间微风,你出生在农村,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1013,1014,,,,,
1013,城中高楼,你出生在城市,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1012,1014,,,,,
1014,美籍华人,你有美国国籍,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,1010,1012,1013,,,,,
1015,家中老大,你最受父母宠爱,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,水性良好,不会被淹死,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,先天免疫,你不会得艾滋病,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,人类进化,所有属性+1,,2,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,超凡,初始可用属性点+4,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,父母美貌,颜值+2,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,红颜薄命,颜值+2，体质-2,,0,,,,,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,属蛇,不会被蛇咬死,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,半神,所有属性+2,,3,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,人中龙凤,天生双重性别,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1003,1004,1025,,,,,
1025,阴阳之外,天生无性别,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1003,1024,1004,1113,,,,
1026,彩虹之下,可能和同性交往,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,
1027,斩情证道,终生不恋爱结婚,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,
1028,桃花连连,恋爱机会提升,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,平安童年,12岁前父母都健在,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,宠物大师,宠物不会意外死亡,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,天生残疾,体质-2,,0,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,早产儿,所有属性-1,,0,,,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,十死无生,体质-10,,0,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,家运不顺,家境-2,,0,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,头着地,智力-2,,0,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,胎教,智力+1,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
